User ID,Age,Gender,Country,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Social Media Platforms Used,Primary Platform,Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Occupation,Marital Status,Monthly Income (USD),Device Type,Internet Speed (Mbps),Subscription Platforms,Average Sleep Time (hrs),Physical Activity Time (hrs),Reading Time (hrs),Work/Study Time (hrs),Screen Time (hrs),Notifications Received Daily,Daily Music Listening Time (hrs),Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),Social Media Fatigue Level (scale 1-10),News Consumption Time (hrs),Ad Interaction Count,Time on Educational Platforms (hrs),Parental Status,Tech Savviness Level (scale 1-10),Preferred Device for Entertainment,Data Plan Used,Digital Well-being Awareness,Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Monthly Expenditure on Entertainment (USD)
433,45,Male,Germany,0.6,3.88,3,YouTube,3.12,3.95,1.19,Student,Divorced,2313.99,PC,75.1,1,6.98,2.8,3.99,6.42,3.0,101,3.14,Short Videos,Networking,YouTube,3.43,5,1.59,37,0.93,No,9,Smartphone,50GB,Moderate,6,3,222.83
434,18,Female,Australia,4.18,4.76,5,Twitter,0.61,1.65,3.91,Professional,Married,1625.9,PC,11.06,2,8.12,1.76,0.4,8.91,10.23,197,1.33,Movies,Entertainment,Netflix,0.75,9,1.48,41,1.25,No,9,Smart TV,Unlimited,Moderate,5,8,412.42
435,17,Male,Australia,1.13,3.94,5,Instagram,2.54,6.34,2.42,Unemployed,Single,564.15,PC,8.67,5,7.63,1.06,1.33,7.33,11.02,94,3.58,Short Videos,Entertainment,Amazon Prime,2.98,5,1.95,14,1.51,Yes,6,Smart TV,Unlimited,Moderate,5,1,298.52
436,49,Female,Canada,5.63,5.62,5,Instagram,4.13,6.88,4.12,Student,Divorced,706.95,PC,84.51,3,8.87,1.41,3.86,8.53,5.66,168,2.8,News,Education,YouTube,0.07,3,2.95,18,2.69,No,6,Tablet,50GB,Moderate,6,3,82.12
437,16,Female,Australia,3.6,2.26,1,YouTube,3.08,2.05,0.22,Unemployed,Single,7580.77,Smartphone,38.88,4,7.93,0.19,2.35,0.36,6.47,147,2.78,News,Entertainment,Amazon Prime,3.82,1,1.27,45,0.92,No,6,Smart TV,Unlimited,Low,4,3,423.75
438,55,Male,UK,3.08,3.86,4,Instagram,3.71,5.69,1.44,Unemployed,Married,6186.65,Tablet,15.87,1,5.82,1.62,1.49,9.07,5.25,22,5.17,Short Videos,Entertainment,YouTube,1.72,6,2.09,7,0.28,No,4,Tablet,10GB,High,9,2,344.24
439,49,Other,Canada,4.75,3.06,5,Twitter,4.96,2.96,1.86,Professional,Widowed,2365.55,Tablet,43.87,2,8.7,2.66,2.6,6.13,2.62,122,5.18,Movies,Education,Amazon Prime,2.71,4,1.31,37,4.46,No,5,PC,Unlimited,Low,1,3,240.05
440,17,Other,Canada,1.97,3.37,5,YouTube,1.29,3.84,0.03,Professional,Single,4688.17,PC,89.08,0,4.62,2.1,1.06,6.84,6.41,139,2.61,Series,Networking,Spotify,3.04,2,0.12,20,4.59,No,5,Smartphone,50GB,High,1,8,423.75
441,17,Male,Australia,4.43,8.34,5,Facebook,3.05,3.95,1.97,Unemployed,Married,8420.91,Smartphone,62.12,2,6.59,1.84,3.91,2.08,5.99,127,4.14,News,Entertainment,YouTube,1.98,2,1.13,11,3.98,Yes,1,PC,10GB,Moderate,9,1,380.46
442,64,Male,Canada,4.44,8.22,2,YouTube,4.52,3.94,1.01,Professional,Single,766.54,Smartphone,29.64,2,7.82,1.72,3.25,6.02,2.69,81,2.59,Series,Entertainment,Amazon Prime,3.07,7,1.61,49,3.28,Yes,8,Smart TV,Unlimited,High,9,4,34.17
443,32,Female,Australia,2.61,2.56,2,TikTok,4.29,0.78,4.16,Unemployed,Divorced,4884.41,Smartphone,13.46,4,8.54,0.28,1.96,9.31,11.66,108,4.77,Series,Entertainment,Spotify,2.58,8,2.24,1,3.55,Yes,8,PC,Unlimited,Low,7,3,169.82
444,32,Male,India,5.9,1.05,5,TikTok,3.5,1.91,1.72,Unemployed,Single,913.68,PC,92.43,5,8.03,2.19,2.65,9.13,11.99,133,4.01,Short Videos,Education,YouTube,3.36,1,2.85,16,1.79,No,8,PC,Unlimited,Low,9,2,103.28
445,55,Female,India,5.36,4.69,2,TikTok,3.53,2.37,2.18,Unemployed,Widowed,2489.99,Smartphone,87.58,4,5.78,1.99,3.95,9.03,7.57,145,3.75,Short Videos,News,Spotify,3.4,5,0.66,48,3.67,Yes,3,Smartphone,10GB,Low,2,2,457.7
446,62,Male,USA,2.33,9.17,4,YouTube,2.48,2.63,3.66,Professional,Married,7986.06,PC,97.78,4,8.13,1.86,0.43,4.04,10.36,191,5.06,Movies,News,Amazon Prime,1.9,4,1.9,49,0.99,Yes,6,Smart TV,Unlimited,High,1,5,419.33
447,64,Male,Canada,6.61,8.58,2,TikTok,1.49,5.3,3.38,Student,Single,5878.26,PC,44.92,2,5.16,1.8,0.81,4.36,9.31,63,1.18,Movies,Entertainment,Amazon Prime,3.33,2,1.62,40,0.73,No,2,PC,Unlimited,Low,2,3,261.98
448,52,Female,India,1.1,7.83,3,Facebook,0.45,6.1,2.24,Professional,Single,6854.8,Tablet,54.55,0,4.22,1.71,3.75,5.91,2.36,170,5.78,Short Videos,Education,Amazon Prime,1.42,6,0.57,34,4.66,No,7,Smart TV,Unlimited,High,4,9,36.81
449,32,Other,Australia,4.35,2.43,2,Twitter,2.12,6.32,2.01,Student,Widowed,4574.01,PC,69.29,5,8.0,0.71,1.47,4.62,10.52,27,4.56,News,Entertainment,YouTube,3.22,7,2.84,38,4.17,No,1,Smart TV,10GB,Low,6,6,303.14
450,17,Male,USA,6.56,7.66,5,Instagram,3.56,5.17,1.98,Student,Single,2389.39,Tablet,32.91,1,5.35,2.84,0.08,7.53,11.48,151,2.13,Series,Education,Amazon Prime,0.67,6,0.58,32,1.06,Yes,9,PC,50GB,Low,3,6,354.94
451,53,Female,Australia,5.25,6.65,1,Twitter,2.58,0.95,0.87,Student,Widowed,4497.84,Tablet,46.56,1,8.32,1.14,1.7,9.03,9.77,145,4.72,News,Entertainment,Netflix,3.62,7,2.77,31,4.2,No,7,PC,10GB,High,5,4,488.45
452,42,Male,Canada,4.07,1.19,1,TikTok,1.84,4.0,0.05,Retired,Divorced,5868.23,Tablet,44.16,0,4.43,1.65,1.35,3.07,5.6,29,0.82,Short Videos,Education,Spotify,2.82,6,0.6,26,1.77,No,7,Tablet,Unlimited,Moderate,8,8,17.67
453,35,Other,India,3.43,4.05,1,YouTube,2.38,3.87,1.24,Student,Single,1582.81,Smartphone,7.85,0,4.66,2.23,3.77,4.86,4.58,184,0.78,Movies,Networking,YouTube,1.62,1,1.99,0,3.63,Yes,8,Smartphone,10GB,Low,5,7,331.54
454,60,Female,USA,2.72,4.33,3,TikTok,4.95,4.9,0.06,Unemployed,Single,5126.43,PC,70.88,1,4.56,1.24,1.31,0.07,9.6,142,5.16,News,Education,Amazon Prime,1.67,4,1.94,40,0.41,Yes,9,Smartphone,50GB,Moderate,1,3,379.56
455,18,Male,India,2.8,7.13,4,Twitter,1.01,3.54,4.02,Professional,Widowed,6569.52,Tablet,81.08,4,5.22,0.42,1.09,5.49,2.81,34,1.22,Movies,Networking,Amazon Prime,1.55,9,1.24,23,2.58,No,2,Smartphone,50GB,Low,5,2,153.23
456,38,Male,Canada,4.87,7.56,2,Twitter,0.45,5.16,0.92,Unemployed,Single,6012.68,Tablet,26.27,4,8.79,0.63,0.99,1.8,4.29,114,5.28,Movies,Entertainment,YouTube,1.94,2,1.89,4,2.7,Yes,7,PC,50GB,Low,8,3,261.7
457,13,Other,USA,3.52,5.62,3,YouTube,2.71,4.87,3.83,Student,Widowed,6987.17,Smartphone,96.48,4,5.6,2.83,3.71,3.02,3.08,163,0.84,Short Videos,Entertainment,Spotify,2.02,1,1.11,20,3.69,No,1,Tablet,50GB,High,2,5,23.62
458,37,Female,India,7.13,3.54,2,TikTok,2.17,6.87,2.29,Professional,Married,9302.92,Smartphone,30.33,1,4.26,2.39,1.29,2.08,11.6,74,5.3,Series,News,Spotify,0.02,1,2.89,33,2.91,No,3,PC,Unlimited,Moderate,2,2,191.37
459,15,Other,Canada,6.13,7.88,3,TikTok,3.39,4.2,1.19,Professional,Widowed,1877.18,Smartphone,23.37,1,5.3,2.86,0.83,5.54,2.44,117,1.33,Movies,Entertainment,YouTube,1.08,9,0.16,44,4.4,No,7,Smart TV,50GB,Low,9,4,160.8
460,19,Other,UK,7.44,5.05,5,YouTube,3.05,1.79,3.53,Student,Married,9989.29,Smartphone,11.24,0,8.15,0.41,0.92,4.6,4.41,147,4.85,Movies,Networking,YouTube,0.19,9,0.97,26,0.35,Yes,9,PC,Unlimited,Moderate,8,5,225.28
461,19,Female,Canada,2.28,9.63,3,YouTube,3.11,2.65,4.88,Unemployed,Divorced,8433.89,PC,79.07,4,6.63,0.85,1.25,4.09,8.51,109,3.23,Movies,News,Netflix,1.55,6,2.23,43,1.67,No,2,Smartphone,10GB,High,9,1,6.74
462,46,Other,USA,1.7,2.93,5,Instagram,3.51,2.64,1.63,Retired,Divorced,7586.64,Smartphone,58.51,4,6.49,0.97,3.62,1.36,9.12,51,1.0,Movies,Education,Spotify,1.74,3,1.64,7,2.26,Yes,5,PC,10GB,Low,3,9,110.65
463,51,Male,USA,7.69,9.28,5,YouTube,2.99,1.57,4.12,Unemployed,Divorced,3784.39,PC,98.87,0,6.8,0.75,1.14,1.51,9.93,150,1.92,Short Videos,News,Netflix,1.55,4,0.67,41,3.5,No,5,PC,10GB,Low,1,8,360.27
464,43,Male,Canada,2.98,4.96,3,TikTok,3.32,4.31,0.36,Student,Single,1379.39,Smartphone,74.27,2,4.79,1.04,3.08,1.08,7.12,84,5.88,Series,Networking,Spotify,2.69,3,2.89,13,2.32,No,7,Smartphone,50GB,Moderate,7,9,287.5
465,63,Other,USA,0.99,8.58,5,Twitter,0.34,3.38,3.8,Retired,Divorced,3709.93,PC,27.54,2,5.7,0.34,1.18,7.38,10.02,190,5.04,News,Networking,Netflix,1.63,5,2.87,40,1.73,Yes,8,PC,50GB,Low,2,4,387.86
466,32,Male,Australia,3.66,6.04,3,TikTok,4.45,4.43,4.82,Professional,Married,2453.71,PC,63.13,3,4.78,2.62,1.54,7.46,2.36,193,5.45,News,News,Amazon Prime,0.32,8,1.02,21,4.35,No,9,Smart TV,Unlimited,High,4,4,368.83
467,27,Other,India,3.89,7.12,5,YouTube,3.04,1.69,0.74,Professional,Divorced,5474.85,PC,42.88,5,6.21,0.15,3.62,1.14,7.4,24,3.46,Movies,Education,YouTube,1.42,9,1.73,42,1.16,No,9,Smartphone,10GB,Moderate,1,7,40.26
468,58,Female,Australia,7.56,5.55,1,Twitter,1.0,6.77,1.95,Unemployed,Married,9142.67,Smartphone,21.5,0,8.2,2.75,0.46,6.25,10.89,67,4.93,News,Entertainment,YouTube,3.63,3,1.19,5,3.71,Yes,5,Smart TV,50GB,Moderate,5,3,395.86
469,24,Male,Australia,4.47,1.64,3,YouTube,4.53,1.38,1.06,Retired,Single,6960.36,Tablet,44.48,3,5.67,2.32,0.66,8.58,3.58,186,4.24,News,Education,Amazon Prime,3.4,3,1.18,25,4.47,Yes,3,Tablet,50GB,Moderate,9,8,334.89
470,63,Other,Germany,3.44,6.91,5,YouTube,0.48,1.31,3.66,Professional,Married,715.98,Smartphone,78.67,0,6.85,1.26,0.55,9.36,9.57,62,0.52,News,Entertainment,Spotify,3.41,3,0.49,49,3.06,No,7,Smartphone,50GB,High,3,3,358.39
471,13,Female,USA,4.23,7.97,1,Instagram,0.93,2.79,3.31,Professional,Married,5779.54,Tablet,38.64,4,7.18,1.51,0.76,2.72,9.87,81,0.55,Short Videos,Networking,Amazon Prime,3.05,1,0.02,43,4.24,No,7,Smart TV,Unlimited,Low,9,7,283.25
472,63,Other,Canada,5.79,3.24,2,TikTok,4.95,5.89,0.72,Student,Married,5471.04,PC,56.45,2,6.56,0.62,0.18,2.12,2.74,134,1.18,News,News,Netflix,3.33,8,0.17,10,3.53,Yes,5,PC,10GB,Low,4,1,85.83
473,15,Male,India,5.01,6.86,2,Twitter,2.29,4.66,4.7,Professional,Single,6143.62,Smartphone,46.1,2,4.76,1.55,2.86,0.98,10.46,19,0.51,Movies,Networking,Amazon Prime,3.78,1,2.78,49,0.87,Yes,9,Tablet,Unlimited,Moderate,3,3,405.17
474,59,Other,Australia,5.92,7.02,1,TikTok,0.25,3.49,0.93,Professional,Divorced,7241.22,Smartphone,52.6,3,6.3,1.84,0.2,3.47,4.1,86,3.41,Movies,Education,Netflix,2.55,9,1.47,32,0.57,Yes,5,Smart TV,Unlimited,Low,5,3,49.86
475,40,Male,Australia,4.47,9.11,3,TikTok,1.37,6.59,3.34,Retired,Married,9009.91,Smartphone,43.04,3,5.06,1.14,1.07,0.53,7.41,118,2.84,News,Entertainment,Amazon Prime,3.82,5,2.44,49,1.78,Yes,8,Tablet,10GB,Low,7,9,76.73
476,64,Male,Canada,2.76,6.46,4,Facebook,2.18,0.9,1.99,Professional,Single,3223.84,Tablet,46.47,4,8.05,0.23,0.08,9.92,7.51,87,5.22,Movies,News,YouTube,2.15,4,0.84,23,3.6,Yes,6,Smartphone,10GB,Moderate,8,6,97.76
477,16,Female,Germany,4.03,8.27,4,Twitter,1.37,3.07,0.71,Unemployed,Widowed,3120.18,Tablet,28.13,2,4.17,1.98,0.19,8.94,9.67,66,3.72,Movies,Education,Amazon Prime,2.88,3,2.86,10,3.85,Yes,5,Smartphone,Unlimited,Low,2,8,22.23
478,41,Female,Canada,0.73,4.94,1,Facebook,2.3,1.7,3.95,Unemployed,Single,1299.33,Tablet,83.1,0,5.47,1.72,1.06,8.68,3.34,26,1.49,Movies,Entertainment,Amazon Prime,0.95,5,0.51,24,0.2,Yes,3,Smartphone,10GB,Low,2,6,181.85
479,63,Male,Canada,7.79,2.71,2,Twitter,4.9,5.8,0.96,Retired,Divorced,7131.21,PC,5.47,4,5.86,2.44,3.37,2.36,8.85,64,1.73,Movies,Education,Spotify,1.1,7,0.75,13,2.08,No,2,Tablet,10GB,Low,1,4,173.62
480,40,Other,Germany,3.04,9.99,1,Twitter,1.02,5.95,3.07,Unemployed,Single,9736.19,Tablet,99.96,1,4.56,0.41,0.96,2.08,6.06,83,5.34,News,Education,Spotify,3.99,9,2.21,1,2.73,Yes,7,Tablet,50GB,High,6,4,275.29
481,45,Female,Australia,5.71,7.79,5,Facebook,0.89,5.64,4.37,Retired,Married,3482.01,Tablet,26.49,3,7.12,2.28,1.41,5.66,9.76,13,4.53,Series,Education,Spotify,2.82,4,1.98,34,4.49,No,3,Smartphone,50GB,Low,5,6,53.79
482,49,Male,India,7.05,5.03,2,TikTok,0.61,3.74,1.42,Student,Single,3088.3,PC,70.46,2,6.78,0.38,1.27,8.79,8.13,190,2.91,News,News,Amazon Prime,2.01,9,1.93,30,0.65,No,7,Smart TV,Unlimited,Low,9,4,144.06
483,36,Male,Germany,5.63,7.7,1,Twitter,0.53,6.04,0.31,Professional,Married,8531.45,Smartphone,45.22,0,8.31,0.81,0.53,0.19,4.21,48,3.1,News,News,Spotify,3.97,5,2.95,25,0.95,Yes,2,Smartphone,Unlimited,Low,6,4,63.57
484,45,Other,Australia,5.46,3.23,4,TikTok,0.56,5.56,4.67,Retired,Widowed,6990.24,Tablet,62.61,1,7.1,0.35,0.6,0.3,7.0,66,1.91,Short Videos,Entertainment,Amazon Prime,0.94,8,0.52,5,1.19,Yes,7,Smart TV,50GB,Low,1,4,305.07
485,43,Male,Canada,6.3,9.11,3,YouTube,3.02,1.84,0.13,Professional,Divorced,1352.93,Tablet,25.72,4,6.46,1.66,3.94,7.68,9.92,118,1.6,Movies,News,Spotify,2.76,8,2.21,0,2.09,No,1,PC,10GB,Moderate,9,8,74.01
486,59,Male,Germany,6.95,1.93,1,Twitter,0.63,2.9,3.41,Professional,Single,2163.02,Smartphone,67.42,2,6.24,1.85,1.38,7.22,2.03,162,2.18,Series,Entertainment,Netflix,1.33,9,0.36,28,2.64,Yes,5,PC,10GB,Moderate,3,6,429.25
487,15,Female,USA,3.03,4.88,3,YouTube,1.99,5.86,2.01,Unemployed,Married,4151.34,Smartphone,96.28,4,4.92,1.19,2.2,6.28,8.14,188,3.59,Movies,Entertainment,Amazon Prime,2.6,7,0.77,31,3.43,Yes,6,Smartphone,Unlimited,Low,2,2,284.67
488,27,Female,Canada,1.37,6.23,1,Instagram,3.66,0.7,1.4,Student,Widowed,2112.31,Smartphone,8.24,5,7.79,0.66,1.63,0.61,3.33,143,2.82,Series,News,Netflix,0.34,4,2.89,3,2.56,No,3,Smart TV,50GB,High,9,6,274.2
489,62,Male,India,2.61,4.69,2,YouTube,2.23,6.0,0.87,Retired,Single,6172.41,Tablet,12.33,2,5.35,1.27,2.84,1.28,10.15,123,5.34,Series,Education,Amazon Prime,3.56,1,0.59,25,4.9,Yes,5,Smartphone,Unlimited,Moderate,4,3,426.17
490,59,Female,USA,4.91,8.19,4,Facebook,1.27,0.62,4.27,Retired,Married,1092.16,Tablet,68.97,1,5.6,1.67,3.57,5.55,6.03,83,4.9,News,Networking,Amazon Prime,2.96,1,2.48,43,3.61,No,4,PC,Unlimited,High,6,4,424.67
491,36,Female,UK,3.62,8.18,1,Instagram,1.32,0.52,2.41,Retired,Divorced,3160.3,Tablet,75.01,2,4.76,0.69,1.53,8.11,4.7,62,2.74,Movies,Networking,Netflix,1.82,1,2.61,9,1.39,Yes,9,Smartphone,Unlimited,High,6,5,491.87
492,45,Male,Canada,3.3,2.28,2,TikTok,2.55,1.5,4.23,Unemployed,Divorced,9783.28,Smartphone,58.39,3,8.68,2.48,0.83,1.14,10.06,28,3.03,Series,Networking,Spotify,2.85,7,0.34,43,2.7,Yes,7,Tablet,10GB,High,1,9,215.05
493,27,Male,India,6.64,1.84,3,Facebook,4.58,1.45,1.93,Student,Single,3654.36,Tablet,97.28,1,6.77,2.27,2.54,3.78,10.32,27,4.88,News,News,Netflix,0.29,4,2.2,13,1.71,Yes,1,Tablet,Unlimited,High,5,7,442.69
494,22,Female,UK,6.18,3.73,4,TikTok,4.54,2.01,4.91,Retired,Widowed,3565.05,Tablet,94.43,1,4.91,1.99,2.09,8.39,2.19,148,0.82,Short Videos,Networking,Netflix,1.45,3,0.67,43,1.34,Yes,8,PC,50GB,Moderate,5,4,167.05
495,37,Other,UK,4.06,9.24,5,Instagram,4.34,1.38,2.31,Unemployed,Divorced,1593.89,Smartphone,78.92,2,4.25,2.78,3.13,1.62,11.7,194,5.7,Series,Education,Netflix,0.83,2,1.03,12,0.34,Yes,6,PC,Unlimited,High,7,7,336.53
496,31,Other,UK,1.5,6.18,1,Instagram,4.77,6.35,3.18,Student,Married,9415.26,PC,94.33,2,6.15,0.94,1.86,4.88,10.75,56,5.36,News,News,YouTube,0.99,6,1.06,21,4.77,No,4,Smartphone,10GB,Low,9,2,336.79
497,43,Female,Germany,0.72,7.79,4,Facebook,3.15,6.05,3.36,Unemployed,Widowed,6733.01,PC,98.45,1,7.16,0.23,0.29,4.32,4.76,66,1.71,Movies,Entertainment,Amazon Prime,1.4,4,2.8,39,0.58,Yes,1,Smartphone,10GB,High,3,6,218.71
498,17,Other,USA,2.34,2.24,3,YouTube,1.48,2.17,2.54,Professional,Married,3872.38,PC,30.12,1,8.24,0.16,3.58,2.86,5.74,30,4.88,News,Networking,Netflix,2.08,7,2.43,26,3.34,Yes,6,PC,Unlimited,Moderate,7,1,410.02
499,63,Female,USA,4.0,8.87,4,TikTok,3.56,5.64,2.95,Student,Single,9906.5,Smartphone,43.64,2,8.46,2.57,0.49,3.97,7.91,197,4.09,News,Networking,YouTube,2.03,6,2.36,45,2.2,No,9,PC,10GB,Low,2,5,118.36
500,64,Female,India,3.9,8.46,5,Twitter,1.77,2.15,0.56,Professional,Married,6625.18,PC,63.6,3,8.67,1.34,3.23,3.72,8.78,117,4.41,Short Videos,Entertainment,Netflix,0.46,5,0.15,8,4.15,Yes,7,Smartphone,10GB,Low,9,1,65.64
501,49,Other,UK,3.73,4.34,5,Facebook,1.71,5.36,0.35,Unemployed,Single,9664.14,Smartphone,26.84,3,6.92,2.49,3.65,5.41,6.32,134,1.12,Short Videos,Networking,Amazon Prime,2.25,8,0.26,4,2.24,No,9,Smartphone,50GB,High,5,4,213.75
502,40,Male,UK,3.94,7.32,5,Facebook,2.34,4.78,0.24,Student,Widowed,3263.48,PC,7.06,0,5.89,2.71,1.18,8.68,3.23,85,1.88,News,News,Netflix,0.92,4,0.12,26,0.43,No,9,Smartphone,50GB,Moderate,3,1,339.05
503,29,Male,Australia,2.43,5.59,4,TikTok,2.5,2.63,3.69,Retired,Married,6801.9,Tablet,14.12,1,5.29,2.62,3.83,9.45,5.69,26,3.14,Short Videos,Networking,Spotify,3.26,8,2.86,32,3.45,No,7,Tablet,Unlimited,High,2,8,31.95
504,55,Female,Germany,4.33,6.46,4,TikTok,0.56,6.09,2.07,Retired,Married,7456.01,Smartphone,58.31,1,6.77,0.0,0.97,0.44,4.96,50,3.82,Movies,Education,YouTube,1.35,2,2.77,43,0.33,Yes,9,Tablet,50GB,High,9,3,332.03
505,48,Male,India,1.81,6.06,3,Facebook,1.48,1.81,1.49,Unemployed,Married,5991.69,PC,93.0,2,6.87,1.63,0.04,9.56,3.48,86,1.16,Movies,Education,Amazon Prime,2.78,3,0.94,43,0.79,No,1,PC,Unlimited,Low,7,5,127.82
506,21,Female,Germany,2.5,1.3,5,TikTok,2.91,0.72,1.03,Unemployed,Widowed,5647.2,Smartphone,99.43,3,4.95,1.82,1.07,7.85,11.86,122,3.76,Short Videos,News,Netflix,1.83,4,0.08,4,4.3,No,6,Smart TV,50GB,Moderate,4,9,271.76
507,60,Other,India,1.0,5.97,3,YouTube,1.86,3.91,1.86,Student,Divorced,4190.76,Smartphone,78.94,1,8.82,2.69,1.43,2.02,2.11,149,1.54,Series,Entertainment,Netflix,1.68,8,0.29,18,1.15,Yes,1,Tablet,50GB,Low,6,5,139.51
508,55,Male,USA,0.56,4.47,5,YouTube,3.47,1.91,1.35,Unemployed,Married,1710.27,Tablet,55.31,3,5.07,0.82,3.73,5.69,4.65,98,1.69,News,Entertainment,Amazon Prime,3.13,4,1.87,34,4.14,Yes,4,PC,50GB,Low,8,1,352.28
509,62,Female,USA,2.58,5.02,5,YouTube,0.89,2.54,2.97,Professional,Married,7701.68,PC,72.5,2,5.03,0.8,0.5,1.8,7.45,132,2.07,Short Videos,Networking,Spotify,0.8,5,0.75,28,4.1,Yes,7,PC,10GB,Moderate,1,9,326.6
510,50,Male,Germany,6.6,7.27,5,YouTube,4.72,4.72,4.84,Unemployed,Married,3508.67,Smartphone,72.8,0,4.9,2.81,0.24,5.18,9.36,44,1.43,Movies,Entertainment,Amazon Prime,1.92,8,1.12,19,2.39,No,5,Smart TV,10GB,High,8,1,356.62
511,44,Male,Canada,4.12,2.29,3,Facebook,0.92,4.61,4.45,Unemployed,Married,3729.92,Tablet,5.72,4,4.64,1.74,1.99,5.79,11.63,132,3.31,Short Videos,Networking,Spotify,2.45,3,2.42,24,3.09,Yes,3,Smartphone,Unlimited,Low,6,1,271.6
512,34,Male,Canada,1.29,3.78,1,YouTube,3.12,0.97,1.88,Unemployed,Widowed,1555.91,PC,84.38,2,8.05,1.06,3.21,8.14,8.78,115,6.0,Series,Networking,Spotify,1.43,3,0.3,16,1.07,Yes,2,Smart TV,50GB,High,3,4,223.11
513,61,Male,USA,4.23,9.68,1,Twitter,1.39,4.0,1.68,Professional,Divorced,6640.3,PC,88.81,2,7.49,0.52,2.0,6.27,2.44,186,5.04,Series,Education,Amazon Prime,2.33,8,2.64,31,3.93,Yes,1,PC,50GB,Low,6,5,326.63
514,58,Female,Canada,5.98,6.81,3,Instagram,4.09,4.42,2.57,Unemployed,Widowed,9850.1,Smartphone,52.38,4,6.48,1.9,3.59,1.74,9.33,157,3.35,Series,Entertainment,YouTube,0.51,7,1.66,16,2.21,Yes,3,PC,10GB,Low,3,5,28.06
515,15,Other,India,3.52,2.83,4,Facebook,0.95,4.32,3.91,Retired,Married,7529.18,Tablet,15.43,0,5.23,0.25,2.6,9.64,7.21,176,4.56,Series,Entertainment,YouTube,2.84,9,1.95,5,2.22,Yes,4,PC,10GB,High,7,9,177.07
516,14,Male,Canada,2.08,2.04,3,YouTube,0.25,2.47,1.2,Student,Single,6339.21,Tablet,7.92,5,8.03,2.11,3.21,6.46,3.19,75,4.48,Short Videos,Education,YouTube,3.33,8,2.04,22,4.99,No,5,Smartphone,50GB,Low,7,4,34.42
517,32,Female,UK,1.91,2.97,1,Facebook,3.37,1.8,0.85,Retired,Single,6634.26,Tablet,93.01,0,5.39,1.73,1.99,9.23,6.67,21,3.94,Series,Entertainment,Netflix,1.92,4,1.56,17,4.48,No,8,Tablet,Unlimited,High,9,5,193.74
518,55,Female,UK,0.64,1.57,4,TikTok,2.82,4.84,1.82,Student,Single,4985.07,Smartphone,85.27,4,6.28,1.84,0.09,0.47,11.04,181,4.34,Movies,Networking,Netflix,2.4,8,2.21,22,2.23,No,5,Smart TV,Unlimited,Low,1,2,220.97
519,64,Female,Germany,7.81,7.05,3,Instagram,3.38,6.94,2.03,Unemployed,Married,4578.2,Tablet,15.93,3,7.36,0.9,0.28,0.78,11.08,142,0.52,Movies,Networking,YouTube,0.17,7,1.36,30,3.66,Yes,6,Smartphone,10GB,Low,5,3,332.77
520,20,Female,UK,3.34,7.16,3,Instagram,1.62,5.94,0.14,Retired,Widowed,3032.19,PC,67.98,1,4.55,1.53,3.13,6.51,8.49,135,5.93,Short Videos,Networking,YouTube,2.23,3,1.41,5,4.27,Yes,4,Tablet,50GB,Moderate,2,6,428.03
521,43,Male,Australia,2.26,8.29,3,Twitter,4.34,4.94,3.11,Student,Single,911.65,Tablet,92.19,3,6.66,1.87,1.65,0.3,4.55,153,2.46,Movies,Entertainment,Netflix,1.26,2,2.01,2,2.78,No,9,Tablet,10GB,High,4,1,204.78
522,32,Female,Australia,7.64,5.76,5,Instagram,2.93,3.68,2.86,Student,Widowed,3777.9,Tablet,38.44,4,5.47,2.18,3.81,1.47,8.62,158,1.8,Movies,Entertainment,Spotify,0.68,4,0.3,47,4.16,No,4,PC,10GB,Moderate,3,5,217.31
523,63,Female,UK,3.54,0.84,1,Facebook,3.52,5.68,0.28,Retired,Married,2403.38,PC,88.34,0,5.59,2.67,1.75,6.47,6.0,30,1.17,News,Entertainment,Netflix,2.7,7,2.97,44,0.79,Yes,6,Tablet,10GB,High,5,9,99.99
524,56,Other,India,7.38,5.45,4,Twitter,4.71,4.96,4.91,Student,Divorced,8052.99,PC,15.96,0,5.14,0.41,1.1,0.17,10.54,140,2.05,News,Entertainment,YouTube,2.22,1,2.6,32,1.34,No,7,Tablet,Unlimited,Low,1,1,373.63
525,56,Other,UK,1.16,0.77,2,TikTok,2.8,6.21,3.82,Retired,Married,5206.29,Tablet,34.01,5,4.9,0.21,2.84,1.55,6.4,75,3.08,News,Networking,Amazon Prime,1.91,8,1.43,25,1.8,No,7,Tablet,50GB,Moderate,5,9,454.15
526,37,Male,USA,7.71,0.56,5,Instagram,0.65,2.23,0.4,Professional,Married,3170.97,PC,73.28,3,4.01,2.55,1.86,2.88,10.78,31,5.59,News,News,Amazon Prime,3.74,6,2.55,23,1.86,No,7,Smart TV,50GB,Low,9,7,217.96
